	Comparts	Site	Sitetre	Treatment	Soiltype	ComTreament	TreCom	SiteCom	Maize.variety	Growing.day
REHL20LNPKM1	RE	HL20	HL20LNPKM	NPKM	BS	REHL20LNPKM	NPKMRE	HL20RE	KW6	102d
REHL20LNPKM2	RE	HL20	HL20LNPKM	NPKM	BS	REHL20LNPKM	NPKMRE	HL20RE	KW6	102d
RQYCK1	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK2	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK3	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK4	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK5	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK6	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK7	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK8	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYCK9	RS	QY	QYCK	CK	RS	RQYCK	CKR	QYR	YD13	116d
RQYNPK1	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK2	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK3	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK4	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK5	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK6	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK7	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK8	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPK9	RS	QY	QYNPK	NPK	RS	RQYNPK	NPKR	QYR	YD13	116d
RQYNPKM1	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM2	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM3	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM4	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM5	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM6	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM7	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM8	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RQYNPKM9	RS	QY	QYNPKM	NPKM	RS	RQYNPKM	NPKMR	QYR	YD13	116d
RYCCK1	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK2	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK3	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK4	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK5	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK6	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK7	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK8	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCCK9	RS	YC	YCCK	CK	FS	RYCCK	CKR	YCR	ZD958	68d
RYCNPK1	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK2	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK3	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK4	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK5	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK6	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK7	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK8	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPK9	RS	YC	YCNPK	NPK	FS	RYCNPK	NPKR	YCR	ZD958	68d
RYCNPKM1	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM2	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM3	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM4	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM5	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM6	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM7	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM8	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYCNPKM9	RS	YC	YCNPKM	NPKM	FS	RYCNPKM	NPKMR	YCR	ZD958	68d
RYYCK2	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK3	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK4	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK5	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK6	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK7	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK8	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYCK9	RS	YY	YYCK	CK	FS	RYYCK	CKR	YYR	JD20	66d
RYYNPK1	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK2	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK3	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK4	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK5	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK6	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK7	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK8	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPK9	RS	YY	YYNPK	NPK	FS	RYYNPK	NPKR	YYR	JD20	66d
RYYNPKM1	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM2	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM3	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM4	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM5	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM6	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM7	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM8	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RYYNPKM9	RS	YY	YYNPKM	NPKM	FS	RYYNPKM	NPKMR	YYR	JD20	66d
RCCSCK1	RS	CC	CCSCK	CK	BS	RCCSCK	CKR	CCR	LY66	115d
RCCSCK2	RS	CC	CCSCK	CK	BS	RCCSCK	CKR	CCR	LY66	115d
RCCSCK3	RS	CC	CCSCK	CK	BS	RCCSCK	CKR	CCR	LY66	115d
RCCSNPK1	RS	CC	CCSNPK	NPK	BS	RCCSNPK	NPKR	CCR	LY66	115d
RCCSNPK2	RS	CC	CCSNPK	NPK	BS	RCCSNPK	NPKR	CCR	LY66	115d
RCCSNPK3	RS	CC	CCSNPK	NPK	BS	RCCSNPK	NPKR	CCR	LY66	115d
RCCSNPKM1	RS	CC	CCSNPKM	NPKM	BS	RCCSNPKM	NPKMR	CCR	LY66	115d
RCCSNPKM2	RS	CC	CCSNPKM	NPKM	BS	RCCSNPKM	NPKMR	CCR	LY66	115d
RCCSNPKM3	RS	CC	CCSNPKM	NPKM	BS	RCCSNPKM	NPKMR	CCR	LY66	115d
RCCLCK1	RS	CC	CCLCK	CK	BS	RCCLCK	CKR	CCR	LY66	115d
RCCLCK2	RS	CC	CCLCK	CK	BS	RCCLCK	CKR	CCR	LY66	115d
RCCLCK3	RS	CC	CCLCK	CK	BS	RCCLCK	CKR	CCR	LY66	115d
RCCLNPK1	RS	CC	CCLNPK	NPK	BS	RCCLNPK	NPKR	CCR	LY66	115d
RCCLNPK2	RS	CC	CCLNPK	NPK	BS	RCCLNPK	NPKR	CCR	LY66	115d
RCCLNPK3	RS	CC	CCLNPK	NPK	BS	RCCLNPK	NPKR	CCR	LY66	115d
RCCLNPKM1	RS	CC	CCLNPKM	NPKM	BS	RCCLNPKM	NPKMR	CCR	LY66	115d
RCCLNPKM2	RS	CC	CCLNPKM	NPKM	BS	RCCLNPKM	NPKMR	CCR	LY66	115d
RCCLNPKM3	RS	CC	CCLNPKM	NPKM	BS	RCCLNPKM	NPKMR	CCR	LY66	115d
RJX20CK1	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK2	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK3	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK4	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK5	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK6	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK7	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK8	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20CK9	RS	JX20	JX20CK	CK	RS	RJX20CK	CKR	JX20R	YD13	77d
RJX20NPK1	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK2	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK3	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK4	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK5	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK6	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK7	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK8	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPK9	RS	JX20	JX20NPK	NPK	RS	RJX20NPK	NPKR	JX20R	YD13	77d
RJX20NPKM1	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RJX20NPKM2	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RJX20NPKM3	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RJX20NPKM4	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RJX20NPKM5	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RJX20NPKM8	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RJX20NPKM9	RS	JX20	JX20NPKM	NPKM	RS	RJX20NPKM	NPKMR	JX20R	YD13	77d
RHL20SCK1	RS	HL20	HL20SCK	CK	BS	RHL20SCK	CKR	HL20R	KW6	102d
RHL20SCK2	RS	HL20	HL20SCK	CK	BS	RHL20SCK	CKR	HL20R	KW6	102d
RHL20SCK3	RS	HL20	HL20SCK	CK	BS	RHL20SCK	CKR	HL20R	KW6	102d
RHL20SNPK1	RS	HL20	HL20SNPK	NPK	BS	RHL20SNPK	NPKR	HL20R	KW6	102d
RHL20SNPK2	RS	HL20	HL20SNPK	NPK	BS	RHL20SNPK	NPKR	HL20R	KW6	102d
RHL20SNPK3	RS	HL20	HL20SNPK	NPK	BS	RHL20SNPK	NPKR	HL20R	KW6	102d
RHL20SNPKM1	RS	HL20	HL20SNPKM	NPKM	BS	RHL20SNPKM	NPKMR	HL20R	KW6	102d
RHL20SNPKM2	RS	HL20	HL20SNPKM	NPKM	BS	RHL20SNPKM	NPKMR	HL20R	KW6	102d
RHL20SNPKM3	RS	HL20	HL20SNPKM	NPKM	BS	RHL20SNPKM	NPKMR	HL20R	KW6	102d
RHL20LCK1	RS	HL20	HL20LCK	CK	BS	RHL20LCK	CKR	HL20R	KW6	102d
RHL20LCK2	RS	HL20	HL20LCK	CK	BS	RHL20LCK	CKR	HL20R	KW6	102d
RHL20LCK3	RS	HL20	HL20LCK	CK	BS	RHL20LCK	CKR	HL20R	KW6	102d
RHL20LNPK1	RS	HL20	HL20LNPK	NPK	BS	RHL20LNPK	NPKR	HL20R	KW6	102d
RHL20LNPK2	RS	HL20	HL20LNPK	NPK	BS	RHL20LNPK	NPKR	HL20R	KW6	102d
RHL20LNPK3	RS	HL20	HL20LNPK	NPK	BS	RHL20LNPK	NPKR	HL20R	KW6	102d
RHL20LNPKM1	RS	HL20	HL20LNPKM	NPKM	BS	RHL20LNPKM	NPKMR	HL20R	KW6	102d
RHL20LNPKM2	RS	HL20	HL20LNPKM	NPKM	BS	RHL20LNPKM	NPKMR	HL20R	KW6	102d
RHL20LNPKM3	RS	HL20	HL20LNPKM	NPKM	BS	RHL20LNPKM	NPKMR	HL20R	KW6	102d
SEQYCK1	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK2	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK3	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK4	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK5	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK6	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK7	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYCK9	SE	QY	QYCK	CK	RS	SEQYCK	CKSE	QYSE	YD13	116d
SEQYNPK1	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK2	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK3	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK4	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK5	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK6	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK7	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK8	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPK9	SE	QY	QYNPK	NPK	RS	SEQYNPK	NPKSE	QYSE	YD13	116d
SEQYNPKM1	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM2	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM3	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM4	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM5	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM6	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM7	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM8	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEQYNPKM9	SE	QY	QYNPKM	NPKM	RS	SEQYNPKM	NPKMSE	QYSE	YD13	116d
SEYCCK1	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK2	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK3	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK4	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK5	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK6	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK7	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK8	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCCK9	SE	YC	YCCK	CK	FS	SEYCCK	CKSE	YCSE	ZD958	68d
SEYCNPK2	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK3	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK4	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK5	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK6	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK7	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK8	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPK9	SE	YC	YCNPK	NPK	FS	SEYCNPK	NPKSE	YCSE	ZD958	68d
SEYCNPKM1	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM2	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM3	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM4	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM5	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM6	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM7	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM8	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYCNPKM9	SE	YC	YCNPKM	NPKM	FS	SEYCNPKM	NPKMSE	YCSE	ZD958	68d
SEYYCK1	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK2	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK3	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK4	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK5	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK6	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK7	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK8	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYCK9	SE	YY	YYCK	CK	FS	SEYYCK	CKSE	YYSE	JD20	66d
SEYYNPK1	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK2	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK3	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK4	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK5	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK6	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK7	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK8	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPK9	SE	YY	YYNPK	NPK	FS	SEYYNPK	NPKSE	YYSE	JD20	66d
SEYYNPKM1	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM2	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM3	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM4	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM5	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM6	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM7	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM8	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SEYYNPKM9	SE	YY	YYNPKM	NPKM	FS	SEYYNPKM	NPKMSE	YYSE	JD20	66d
SECCCK1	SE	CC	CCCK	CK	BS	SECCCK	CKSE	CCSE	LY66	115d
SECCCK2	SE	CC	CCCK	CK	BS	SECCCK	CKSE	CCSE	LY66	115d
SECCCK3	SE	CC	CCCK	CK	BS	SECCCK	CKSE	CCSE	LY66	115d
SECCNPK1	SE	CC	CCNPK	NPK	BS	SECCNPK	NPKSE	CCSE	LY66	115d
SECCNPK2	SE	CC	CCNPK	NPK	BS	SECCNPK	NPKSE	CCSE	LY66	115d
SECCNPK3	SE	CC	CCNPK	NPK	BS	SECCNPK	NPKSE	CCSE	LY66	115d
SECCNPKM1	SE	CC	CCNPKM	NPKM	BS	SECCNPKM	NPKMSE	CCSE	LY66	115d
SECCNPKM2	SE	CC	CCNPKM	NPKM	BS	SECCNPKM	NPKMSE	CCSE	LY66	115d
SECCNPKM3	SE	CC	CCNPKM	NPKM	BS	SECCNPKM	NPKMSE	CCSE	LY66	115d
SEJX20CK1	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK2	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK3	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK4	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK5	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK6	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK7	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20CK9	SE	JX20	JX20CK	CK	RS	SEJX20CK	CKSE	JX20SE	YD13	77d
SEJX20NPK1	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK2	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK3	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK4	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK5	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK6	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK7	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK8	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPK9	SE	JX20	JX20NPK	NPK	RS	SEJX20NPK	NPKSE	JX20SE	YD13	77d
SEJX20NPKM1	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEJX20NPKM2	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEJX20NPKM3	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEJX20NPKM4	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEJX20NPKM5	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEJX20NPKM8	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEJX20NPKM9	SE	JX20	JX20NPKM	NPKM	RS	SEJX20NPKM	NPKMSE	JX20SE	YD13	77d
SEHL20CK1	SE	HL20	HL20CK	CK	BS	SEHL20CK	CKSE	HL20SE	KW6	102d
SEHL20CK2	SE	HL20	HL20CK	CK	BS	SEHL20CK	CKSE	HL20SE	KW6	102d
SEHL20CK3	SE	HL20	HL20CK	CK	BS	SEHL20CK	CKSE	HL20SE	KW6	102d
SEHL20NPK1	SE	HL20	HL20NPK	NPK	BS	SEHL20NPK	NPKSE	HL20SE	KW6	102d
